품목,번역
원유,crude oil
LNG(액상천연가스),LNG (liquid natural gas)
프로판,Propane
반도체 제조용 장비,Semiconductor
쇠고기,beef
비행기,airplane
콘트롤러,Controller
프로세스,process
의약품,medicine
로얄제리,Royal Jerry
나프타,naphtha
불꽃점화식,spark ignition
정밀 화학 원료,Fine chemicals
부탄,butane
승용차,car
항공기엔진,Aircraft engine
대두,soybean
석유 화학 제품,petrochemical products
정밀 화학제품,Fine chemicals
사료,feed
밀,wheat
돼지고기,Pork
동스크랩,copper scrap
전기자동차,Electric car
의료용 기기,Medical container
교류발전기,Alternator
화학 공업 제품,chemical industry products
광학 기기 부품,Optical instrument
고철,Scrap metal
박류,Gourd
플라스틱제품,Plastic
유연탄,coal
물리 화학 분석기,physicochemical analyzer
염료,dyes
합성수지,Synthetic resin
귀금속장식품,jewelry
밸브,valve
기초유분,Basic oil
집적회로반도체,integrated circuit semiconductor
개인용컴퓨터,Personal computer
오렌지,Orange
치즈,Cheese
주류,alcoholic liquors
금속광물,Metal minerals
기계류,machinery
문구,stationery
전자응용기기,Electronic application
계측기 부품,instrument parts
산업기계,Industrial machine
압축점화식,compression ignition
광학 기기,optical instrument
자동차부품,Automotive Parts
의료용전자기기,Medical electronics
화장품,cosmetics
계측기,measuring instrument
귀금속 장식품,precious metal ornaments
메모리반도체,Memory semiconductor
폴리아미드수지,Polyamide resin
아몬드,almond
대두유,Soybean oil
주철,cast iron
실리콘웨이퍼,Silicon wafer
레이더,Radar
단백질류,Protein
감자,potato
종이제품,Paper product
기계요소,Mechanical element
백금,platinum
연결부품,Connecting parts
자동제어기,Automatic controller
농산 가공품,agricultural products
소가죽,Cowhide
면,noodle
골프 용품,golf equipment
호도,walnut
터보제트,Turbo jet
펌프부품,Pump part
액체펌프,Liquid pump
커피,coffee
석유 제품,distillate
펄프,pulp
타일 제품,Tile product
도자기 제품,Pottery
기체펌프,Gas pump
알루미늄 제품,Aluminum products
화물자동차,Truck
쌀,rice
포도주,wine
아크릴로니트닐,Acrylonite Neil
항공기부품,Aircraft parts
볼트,bolt
너트,nut
벙커-C유,Bunker-C Yu
분석시험기부품,Analytical tester parts
콘테이너,Container
산업 기계 부품,Industrial machinery
알루미늄 판,Aluminum plate
요업 제품,ceramics
철강재 용기,Steel container
비철금속제품,non-ferrous metal products
광학렌즈,Optical lens
