,품목,번역
0,노트북,máy tính xách tay
1,신발,Giày của mình
2,운동복,quần áo thể thao
3,스포츠화,giày thể thao
4,목재류,loại gỗ
5,인쇄 회로,mạch in
6,남성 바지,quần đàn ông
7,컴퓨터 부품,linh kiện máy tính
8,메모리반도체,chất bán dẫn bộ nhớ
9,와이어하네스,dây điện
10,여성 바지,quần nữ
11,순면사,người giữ mặt nạ trong suốt
12,새우,tôm
13,자동차부품,phụ tùng ô tô
14,합판,sự ghép bản
15,포장용의 빈포대,bao bì rỗng dùng để đóng gói
16,바지 스커트,váy quần
17,플라스틱제품,sản phẩm làm bằng nhựa
18,수산 가공품,sản phẩm chế biến thủy sản
19,정밀 화학원료,nguyên liệu hóa học chính xác
20,동관,đồng quan điểm
21,연결부품,phụ tùng kết nối
22,스웨터,cái áo len
23,질소비료,phân đạm
24,세탁기,máy giặt
25,절연 코드세트,bộ dây cách điện
26,비합금강선재,thép không hợp kim
27,신사복상의,thuộc dạng quần áo đàn ông
28,혼방면사,miễn trừ một phía
29,문어,bạch tuộc
30,철및비합금강H형강,Thép và thép phi kim loại H
31,슬랩,dây thừng
32,진공 청소기,máy hút bụi chân không
33,남자 셔츠,áo sơ mi nam
34,철강 금속제품,hàng kim loại thép
35,변성기,thời kỳ vỡ giọng
36,편직제의류,quần áo dệt vải
37,코팅제의류,quần áo có lớp phủ
38,문구,câu văn
39,정밀 화학제품,sản phẩm hóa học chính xác
40,밸브,cái van
41,커피,cà phê
42,데이터 디스플레이 장치,Thiết bị hiển thị dữ liệu
43,어육,thịt cá
44,여성 양복,bộ com-lê dành cho phụ nữ
45,의자,cái ghế
46,물리 화학 분석기,máy phân tích hóa học vật lý
47,천연고무,cao su thiên nhiên
48,밧데리 충전기,Đồ sạc pin
49,전열기기 부품,phụ tùng máy phát nhiệt
50,전동기,động cơ điện
51,모터사이클,xe máy
52,계측기,dụng cụ đo lường
53,비금속 광물,khoáng vật phi kim loại
54,가방,túi xách
55,장갑,găng tay
56,소형 전동기,động cơ cỡ nhỏ
57,유량 압력계,áp kế dòng chảy
58,나일론사,công ty nilon
59,모자,cái mũ
60,펌프 부품,phụ tùng máy bơm
61,타이어 코드,dây lốp xe
62,알루미늄 구조물,cấu trúc nhôm
63,브라우스,áo choàng tắm
64,신발 부분품,phụ kiện giày
65,주철,sắt đúc
66,자동차용 내연기관,Động cơ đốt trong dùng cho ô tô
67,스피커,cái loa
68,인조섬유장섬유사,sợi tơ nhân tạo
69,광산물,khoáng sản
70,속도계,đồng hồ đo tốc độ
71,속옷,quần lót
72,빌레트,xe tải chở hàng rào
73,의료용기기,dụng cụ y tế
74,실내용품,đồ dùng trong nhà
75,식물성액즙,nước ép thực vật
76,브라우스,áo choàng tắm
77,집적회로 반도체,Chất bán dẫn mạch tích hợp
78,가구,đồ nội thất
79,캠핑 용품,đồ dùng cắm trại
80,농산 가공품,sản phẩm chế biến nông sản
81,의섬유제품,hàng dệt may
82,쌀,gạo
83,위성방송 수신기,máy thu phát sóng vệ tinh
84,과실,sự sai lầm
85,축전지,pin dự phòng
86,낙지,Bạch tuộc
87,화장품,mỹ phẩm
88,오징어,mực
89,P/C사,Công ty P/C
90,침대 ,cái giường
91,종이제품,hàng giấy
92,저압스위치 및 차단기,Công tắc áp suất thấp và thiết bị chặn
93, 절연부품,phụ tùng cách điện
94,고무제품,hàng cao su
95,스테인레스,thép không gỉ
96,합금강선재,thép hợp kim
97,폴리에스터사,chất polyester
98,온도계,nhiệt kế
99,채소,rau củ
100,LCD,LCD
